State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Minnesota,MN,10,BARACK OBAMA,52.7,1546167,MITT ROMNEY,45,1320225,,,,2012
Wisconsin,WI,10,BARACK OBAMA,52.9,1620985,MITT ROMNEY,46,1410966,,,,2012
Michigan,MI,16,BARACK OBAMA,54.2,2564569,MITT ROMNEY,44.7,2115256,,,,2012
Illinois,IL,20,BARACK OBAMA,57.6,3019512,MITT ROMNEY,40.7,2135216,,,,2012
Iowa,IA,6,BARACK OBAMA,52,822544,MITT ROMNEY,46.2,730617,,,,2012
Ohio,OH,18,BARACK OBAMA,50.7,2827621,MITT ROMNEY,47.7,2661407,,,,2012
Maine,ME,4,BARACK OBAMA,56.3,401306,MITT ROMNEY,41,292276,,,,2012
Vermont,VT,3,BARACK OBAMA,66.6,199239,MITT ROMNEY,31,92698,,,,2012
New Hampshire,NH,4,BARACK OBAMA,52,369561,MITT ROMNEY,46.5,329918,,,,2012
New York,NY,29,BARACK OBAMA,63.4,4471871,MITT ROMNEY,35.2,2485432,,,,2012
Rhode Island,RI,4,BARACK OBAMA,62.7,279677,MITT ROMNEY,35.2,157204,,,,2012
Massachusetts,MA,11,BARACK OBAMA,60.7,1921290,MITT ROMNEY,37.5,1188314,,,,2012
Pennsylvania,PA,20,BARACK OBAMA,52.1,2990274,MITT ROMNEY,46.7,2680434,,,,2012
New Jersey,NJ,14,BARACK OBAMA,58.3,2122786,MITT ROMNEY,40.6,1478088,,,,2012
Connecticut,CT,7,BARACK OBAMA,58.1,905083,MITT ROMNEY,40.7,634892,,,,2012
Dist. of Col.,DC,3,BARACK OBAMA,90.9,267070,MITT ROMNEY,7.3,21381,,,,2012
Delaware,DE,3,BARACK OBAMA,58.6,242584,MITT ROMNEY,40,165484,,,,2012
Maryland,MD,10,BARACK OBAMA,62,1677844,MITT ROMNEY,35.9,971869,,,,2012
Virginia,VA,13,BARACK OBAMA,51.2,1971820,MITT ROMNEY,47.3,1822522,,,,2012
Florida,FL,29,BARACK OBAMA,50,4237756,MITT ROMNEY,49.1,4163447,,,,2012
Washington,WA,12,BARACK OBAMA,56.2,1755396,MITT ROMNEY,41.3,1290670,,,,2012
Oregon,OR,7,BARACK OBAMA,54.2,970488,MITT ROMNEY,42.1,754175,,,,2012
Nevada,NV,6,BARACK OBAMA,52.4,531373,MITT ROMNEY,45.7,463567,,,,2012
Colorado,CO,9,BARACK OBAMA,51.5,1323101,MITT ROMNEY,46.1,1185243,,,,2012
California,CA,55,BARACK OBAMA,60.2,7854285,MITT ROMNEY,37.1,4839958,,,,2012
New Mexico,NM,5,BARACK OBAMA,53,415335,MITT ROMNEY,42.8,335788,,,,2012
Hawaii,HI,4,BARACK OBAMA,70.5,306658,MITT ROMNEY,27.8,121015,,,,2012
Indiana,IN,11,BARACK OBAMA,43.9,1152887,MITT ROMNEY,54.1,1420543,,,,2012
North Dakota,ND,3,BARACK OBAMA,38.7,124966,MITT ROMNEY,58.3,188320,,,,2012
South Dakota,SD,3,BARACK OBAMA,39.9,145039,MITT ROMNEY,57.9,210610,,,,2012
Nebraska,NE,5,BARACK OBAMA,38,302081,MITT ROMNEY,59.8,475064,,,,2012
Missouri,MO,10,BARACK OBAMA,44.4,1223796,MITT ROMNEY,53.8,1482440,,,,2012
Kansas,KS,6,BARACK OBAMA,38,440726,MITT ROMNEY,59.7,692634,,,,2012
North Carolina,NC,15,BARACK OBAMA,48.4,2178391,MITT ROMNEY,50.4,2270395,,,,2012
Kentucky,KY,8,BARACK OBAMA,37.8,679370,MITT ROMNEY,60.5,1087190,,,,2012
West Virginia,WV,5,BARACK OBAMA,35.5,238269,MITT ROMNEY,62.3,417655,,,,2012
Arkansas,AR,6,BARACK OBAMA,36.9,394409,MITT ROMNEY,60.6,647744,,,,2012
Tennessee,TN,11,BARACK OBAMA,39.1,960709,MITT ROMNEY,59.5,1462330,,,,2012
South Carolina,SC,9,BARACK OBAMA,44.1,865941,MITT ROMNEY,54.6,1071645,,,,2012
Oklahoma,OK,7,BARACK OBAMA,33.2,443547,MITT ROMNEY,66.8,891325,,,,2012
Louisiana,LA,8,BARACK OBAMA,40.6,809141,MITT ROMNEY,57.8,1152262,,,,2012
Mississippi,MS,6,BARACK OBAMA,43.8,562949,MITT ROMNEY,55.3,710746,,,,2012
Alabama,AL,9,BARACK OBAMA,38.4,795696,MITT ROMNEY,60.5,1255925,,,,2012
Georgia,GA,16,BARACK OBAMA,45.5,1773827,MITT ROMNEY,53.3,2078688,,,,2012
Texas,TX,38,BARACK OBAMA,41.4,3308124,MITT ROMNEY,57.2,4569843,,,,2012
Alaska,AK,3,BARACK OBAMA,40.8,122640,MITT ROMNEY,54.8,164676,,,,2012
Montana,MT,3,BARACK OBAMA,41.7,201839,MITT ROMNEY,55.4,267928,,,,2012
Idaho,ID,4,BARACK OBAMA,32.6,212787,MITT ROMNEY,64.5,420911,,,,2012
Wyoming,WY,3,BARACK OBAMA,27.8,69286,MITT ROMNEY,68.6,170962,,,,2012
Utah,UT,6,BARACK OBAMA,24.7,251813,MITT ROMNEY,72.8,740600,,,,2012
Arizona,AZ,11,BARACK OBAMA,44.6,1025232,MITT ROMNEY,53.7,1233654,,,,2012
